Company Name,Industry,Website,Phone,City,State,Square Footage,Employees,Summary
D.S. Brown Company,Bridge Engineering/Rubber Manufacturing,www.dsbrown.com,(903) 677-3051,Athens,Texas,"150,000",180,"D.S. Brown Company is a world-leading manufacturer of engineered bridge products including expansion joints, bridge bearings, and highway construction materials since 1890. Their Athens facility operates specialized rubber molding equipment, precision machining centers, and manufacturing systems requiring significant electricity consumption for bridge bearing production. The company serves bridge contractors and construction companies with high-quality engineered products requiring continuous manufacturing processes and environmental controls. D.S. Brown represents an excellent energy prospect with predictable manufacturing schedules, high-demand equipment usage, and opportunities for demand management around their specialized bridge product manufacturing. Their established position as a Gibraltar Industries company provides stability and growth potential making them an ideal candidate for comprehensive energy management services including backup power solutions and renewable energy integration to support their precision manufacturing operations."
Argon Medical Devices,Medical Device Manufacturing,www.argonmedical.com,(903) 675-9321,Athens,Texas,"280,000",650,"Argon Medical Devices manufactures critical medical devices including catheters, biopsy devices, and interventional radiology products serving hospitals and medical facilities worldwide. Their Athens facility operates specialized clean room manufacturing, precision molding equipment, sterilization systems, and quality control laboratories requiring stringent environmental controls and consistent electricity supply for medical device production. The company maintains FDA-compliant manufacturing processes with significant energy demands from specialized equipment, HVAC systems, and environmental controls operating around the clock. Argon Medical represents a premium energy prospect with critical power reliability requirements, substantial electricity consumption from medical device manufacturing, and opportunities for comprehensive energy solutions including backup power systems, demand management programs, and renewable energy integration to support their medical device production while maintaining the strict quality and reliability standards required for life-saving medical equipment."
Biomerics,Silicone Medical Components,www.biomerics.com,(903) 677-3516,Athens,Texas,"85,000",225,"Biomerics specializes in silicone molding and manufacturing of medical components for cardiovascular, orthopedic, and general surgical applications. Their Athens facility operates precision silicone molding equipment, clean room environments, curing ovens, and quality control systems requiring consistent temperature controls and electricity supply for medical grade silicone processing. The company serves medical device manufacturers with critical components requiring FDA compliance and stringent quality standards. Biomerics offers excellent opportunities for energy optimization including demand management around molding and curing cycles, renewable energy procurement to support sustainability initiatives, and comprehensive utility management addressing the unique power quality requirements of precision silicone manufacturing. Their specialized medical manufacturing processes and proximity to sterilization facilities like Steritec create opportunities for innovative energy solutions that support both cost optimization and the critical reliability requirements of medical device component manufacturing."
Champion Home Builders,Manufactured Housing,www.championhomes.com,(903) 677-3961,Athens,Texas,"450,000",850,"Champion Home Builders operates one of the largest manufactured housing production facilities in East Texas, producing modular and manufactured homes with advanced construction techniques and quality control systems. Their Athens facility features extensive production lines, woodworking equipment, painting booths, and assembly operations requiring substantial electricity consumption for home manufacturing processes. The company operates multiple production lines with significant energy demands from specialized construction equipment, HVAC systems for large manufacturing spaces, and quality control systems. Champion represents an excellent energy prospect with predictable manufacturing schedules, opportunities for demand management around production cycles, and potential for renewable energy integration to support sustainability goals. Their large-scale operations and established market position make them ideal candidates for comprehensive energy management services including demand optimization, backup power systems, and innovative rate structures designed for high-volume manufacturing operations with mixed equipment loads."
Niagara Bottling,Beverage Manufacturing,www.niagarawater.com,(254) 771-8100,Temple,Texas,"325,000",420,"Niagara Bottling operates a state-of-the-art water bottling facility in Temple producing private label bottled water for major retailers across the southern United States. Their facility features high-speed bottling lines, water treatment systems, blow molding equipment, and packaging operations requiring continuous electricity supply for beverage production. The company invested $90 million in their Temple facility with advanced manufacturing equipment including bottle production, water purification systems, and automated packaging lines operating 24/7. Niagara represents a premium energy prospect with substantial electricity consumption from continuous bottling operations, significant demand from specialized equipment, and opportunities for comprehensive energy management including demand response programs, renewable energy procurement, and innovative rate structures designed for continuous process manufacturing. Their commitment to expansion and sustainability makes them an ideal candidate for advanced energy solutions including on-site renewable generation and energy storage integration."
East Penn Manufacturing,Battery Manufacturing,www.eastpenn-deka.com,(254) 773-4000,Temple,Texas,"200,000",485,"East Penn Manufacturing operates a major battery production facility in Temple manufacturing automotive, commercial, and industrial batteries with advanced lead-acid battery technology. Their facility features battery assembly lines, lead processing equipment, formation charging systems, and testing laboratories requiring substantial electricity consumption for battery manufacturing processes. The company invested $106 million to create 266 new manufacturing jobs with specialized equipment for battery production including smelting operations, grid casting, and battery formation systems. East Penn represents an excellent energy prospect with high electricity consumption from energy-intensive battery manufacturing, predictable production schedules, and opportunities for innovative energy solutions including demand management around formation charging cycles, renewable energy integration to support sustainability goals, and comprehensive utility management addressing the unique power quality requirements of battery manufacturing equipment while optimizing costs for their substantial electricity consumption."
Reynolds Consumer Products,Consumer Products Manufacturing,www.reynoldsconsumerproducts.com,(254) 773-2000,Temple,Texas,"275,000",380,"Reynolds Consumer Products operates a major manufacturing facility in Temple producing aluminum foil, plastic wrap, and food storage products including Reynolds Wrap and Hefty products for consumer markets. Their facility features plastic extrusion lines, aluminum rolling equipment, converting operations, and packaging systems requiring continuous electricity supply for consumer product manufacturing. The company invested in facility expansion in 2018 adding new plastic film production lines with specialized equipment for food packaging production. Reynolds represents an excellent energy prospect with substantial electricity consumption from continuous manufacturing operations, opportunities for demand management around production schedules, and potential for renewable energy integration to support sustainability commitments. Their established market position and ongoing expansion make them ideal candidates for comprehensive energy management services including demand optimization, innovative rate structures designed for continuous process manufacturing, and energy solutions that support both cost reduction and their commitment to sustainable packaging solutions."
Shell Deer Park Chemicals,Specialty Chemical Manufacturing,www.shell.us,(281) 476-7111,Deer Park,Texas,"450,000",680,"Shell operates a major specialty chemicals manufacturing complex in Deer Park producing olefins, phenol, and specialty chemicals for plastics, pharmaceuticals, and industrial applications since 1929. Their facility operates 24/7 with continuous chemical processing equipment, distillation columns, reaction systems, and environmental controls requiring massive electricity consumption for chemical manufacturing processes. The company produces base chemicals and raw materials serving other chemical companies with highly specialized processing equipment and critical power reliability requirements. Shell Deer Park represents a premium energy prospect with extremely high electricity consumption from continuous chemical processing, complex demand patterns from specialized equipment, and opportunities for sophisticated energy procurement strategies including structured products, renewable energy certificates, and comprehensive demand management programs. Their scale and established operations offer potential for innovative energy solutions including waste heat recovery systems and on-site generation to optimize substantial electricity costs while maintaining the critical reliability requirements of continuous chemical manufacturing operations."
Lubrizol Corporation,Specialty Chemical Additives,www.lubrizol.com,(281) 478-1500,Deer Park,Texas,"185,000",320,"Lubrizol operates a specialty chemical manufacturing facility in Deer Park producing additives for lubricating oils, engine oils, and specialty chemical products since 1951. Their facility features specialized chemical processing equipment, reaction systems, distillation columns, and quality control laboratories requiring consistent electricity supply and precise environmental controls for additive manufacturing. The company produces highly specialized chemical products for automotive, industrial, and marine applications with stringent quality requirements and continuous processing operations. Lubrizol represents an excellent energy prospect with substantial electricity consumption from specialized chemical processing, opportunities for demand management around batch processing schedules, and potential for renewable energy integration to support sustainability initiatives. Their established position as a leading specialty chemical manufacturer and ongoing process improvements make them ideal candidates for comprehensive energy management services including demand optimization, innovative rate structures for chemical manufacturing, and energy solutions that address the unique power quality requirements of specialty chemical production while optimizing costs for their continuous processing operations."
Seatex Chemical Company,Specialty Chemical Blending,www.seatexcorp.com,(979) 320-0525,El Campo,Texas,"110,000",95,"Seatex operates a specialty chemical blending and manufacturing facility in El Campo producing drilling fluids, household cleaners, and industrial chemicals with custom blending and packaging services. Their facility features chemical blending equipment, fine milling systems, flammable product handling, and packaging lines requiring consistent electricity supply for chemical processing operations. The company operates EPA-registered facilities with quality control laboratories, liquid storage capacity over 72,000 gallons, and specialized equipment for high-flammable product blending. Seatex represents an ideal mid-market energy prospect with predictable energy usage patterns from their chemical blending operations, opportunities for demand management around batch processing schedules, and potential for renewable energy integration to support their ISO 9001:2015 certification and sustainability goals. Their proximity to Port Freeport and established client base in energy and industrial markets make them excellent candidates for comprehensive energy management services including demand optimization and innovative rate structures designed for specialty chemical manufacturing and blending operations."
Prasek's Family Smokehouse,Food Processing/Meat Manufacturing,www.praseks.com,(979) 543-9989,El Campo,Texas,"57,000",125,"Prasek's operates a specialty food manufacturing facility in El Campo producing smoked meats, jerky, and baked goods with retail locations and wholesale distribution since 1974. Their manufacturing facility features smoking equipment, meat processing lines, industrial ovens, refrigeration systems, and packaging operations requiring substantial electricity consumption for food production and safety compliance. The company operates 50,000 square feet of manufacturing space with specialized equipment for meat smoking, jerky processing, and bakery operations serving customers from Florida to California. Prasek's represents an excellent energy prospect with continuous refrigeration demands, predictable processing schedules, and opportunities for demand management around batch cooking and smoking operations. Their family-owned business with 50 years of operation and expansion into wholesale distribution makes them ideal candidates for comprehensive energy management services including demand optimization, backup power systems for critical refrigeration, and renewable energy integration to support their commitment to quality food production and community service."
Patterson-UTI Drilling Services,Oil & Gas Services,www.patenergy.com,(830) 876-3456,Carrizo Springs,Texas,"75,000",180,"Patterson-UTI operates drilling support facilities and equipment maintenance operations in Carrizo Springs serving the Eagle Ford Shale with drilling services, equipment maintenance, and field operations support. Their facility features heavy equipment maintenance shops, parts warehouses, welding operations, and administrative offices requiring significant electricity consumption for oilfield services operations. The company provides drilling contractor services with specialized equipment maintenance, fabrication capabilities, and field support operations in the active Eagle Ford drilling region. Patterson-UTI represents an excellent energy prospect with substantial electricity consumption from heavy equipment operations, welding and fabrication activities, and opportunities for demand management around maintenance schedules and field operations support. Their established position in the Eagle Ford Shale and ongoing drilling activity make them ideal candidates for comprehensive energy management services including demand optimization, backup power systems for critical operations, and innovative rate structures designed for oilfield services operations with variable demand patterns based on drilling activity levels."
